iter	Passed	Remaining
1067	98718	86147
1068	98812	86056
1069	98905	85964
1070	98997	85871
1071	99089	85779
1072	99184	85688
1073	99269	85589
1074	99364	85499
1075	99459	85409
1076	99553	85318
1077	99646	85226
1078	99729	85126
1079	99824	85036
1080	99911	84938
1081	99999	84842
1082	100096	84754
1083	100187	84660
1084	100279	84567
1085	100370	84473
1086	100454	84374
1087	100546	84281
1088	100639	84190
1089	100733	84098
1090	100823	84004
1091	100919	83914
1092	101009	83820
1093	101108	83733
1094	101206	83645
1095	101300	83554
1096	101394	83463
1097	101488	83371
1098	101581	83280
1099	101680	83192
1100	101776	83103
1101	101854	82999
1102	101941	82902
1103	102025	82803
1104	102116	82709
1105	102205	82614
1106	102304	82527
1107	102399	82437
1108	102495	82347
1109	102585	82253
1110	102668	82153
1111	102763	82062
1112	102860	81974
1113	102950	81879
1114	103046	81789
1115	103141	81699
1116	103229	81603
1117	103324	81513
1118	103416	81421
1119	103497	81319
1120	103592	81228
1121	103677	81131
1122	103776	81043
1123	103871	80953
1124	103968	80864
1125	104055	80767
1126	104147	80674
1127	104239	80582
1128	104331	80489
1129	104426	80399
1130	104521	80308
1131	104618	80219
1132	104711	80127
1133	104809	80040
1134	104904	79949
1135	104994	79854
1136	105084	79760
1137	105174	79666
1138	105268	79575
1139	105350	79475
1140	105442	79382
1141	105537	79291
1142	105630	79199
1143	105723	79107
1144	105818	79017
1145	105917	78929
1146	106014	78840
1147	106106	78747
1148	106191	78649
1149	106282	78556
1150	106381	78469
1151	106465	78370
1152	106557	78278
1153	106655	78189
1154	106746	78095
1155	106833	77999
1156	106911	77896
1157	107010	77808
1158	107102	77716
1159	107194	77623
1160	107291	77534
1161	107378	77438
1162	107468	77344
1163	107568	77256
1164	107660	77164
1165	107761	77077
1166	107856	76987
1167	107952	76897
1168	108034	76797
1169	108128	76706
1170	108219	76613
1171	108312	76521
1172	108408	76431
1173	108499	76337
1174	108591	76244
1175	108687	76155
1176	108780	76063
1177	108874	75971
1178	108972	75883
1179	109067	75792
1180	109163	75702
1181	109254	75609
1182	109351	75520
